title,sub,author,cat,type,price,pages,blurb,desc,drive_url,cover_image,badge,bg,fg,ac,pat
Jwar-biggyan Ed. 1st,A free public domain Bengali Literature book,Nandi Prabhas Chandra,Bengali Literature,free,0,282,Book Source: Digital Library of India Item 2015.297673 dc.contributor.author: Nandi Prabhas Chandra dc.date.accessioned: 2015-08-10T12:33:04Z dc.date.available:...,<p>Book Source: Digital Library of India Item 2015.297673 dc.contributor.author: Nandi Prabhas Chandra dc.date.accessioned: 2015-08-10T12:33:04Z dc.date.available: 2015-08-10T12:33:04Z dc.date.digitalpublicationdate: 2012/05/17 dc.date.citation: 1925 dc.identifier.barcode: 99999990331467 dc.identifier.origpath: /data14/upload/0022/297 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/297673 dc.description.scannerno: 02 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 800 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Sridasrathi Nandi Calcutta dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Jwarer Prakarbhed dc.subject.keywords: Tapman Jantra dc.subject.keywords: Malaria dc.subject.keywords: Koartan Jwar dc.subject.keywords: Jwarer Upasarga dc.title: Jwar-biggyan Ed. 1st dc.type: Print - Paper dc.type: Book</p>,https://archive.org/details/in.ernet.dli.2015.297673,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Talpatar Puthi,A free public domain Bengali Literature book,Gupta niharranjan,Bengali Literature,free,0,288,Book Source: Digital Library of India Item 2015.297991 dc.contributor.author: Gupta niharranjan dc.date.accessioned: 2015-08-10T12:34:46Z dc.date.available: 201...,<p>Book Source: Digital Library of India Item 2015.297991 dc.contributor.author: Gupta niharranjan dc.date.accessioned: 2015-08-10T12:34:46Z dc.date.available: 2015-08-10T12:34:46Z dc.date.digitalpublicationdate: 2012/05/18 dc.date.citation: 1983 dc.identifier.barcode: 99999990331754 dc.identifier.origpath: /data14/upload/0022/584 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/297991 dc.description.scannerno: SC-01 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 618 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: S.n.ray kolkata dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Shalprangshu dc.subject.keywords: Rojario dc.subject.keywords: Bhaila dc.subject.keywords: Jagadhatri dc.subject.keywords: Sulochan dc.title: Talpatar Puthi dc.type: Print - Paper dc.type: Book</p>,https://archive.org/download/in.ernet.dli.2015.297991/2015.297991.Talpatar-Puthi.pdf,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Anandamayee Ed.3rd,A free public domain Bengali Literature book,Sen rajanikanta,Bengali Literature,free,0,246,Book Source: Digital Library of India Item 2015.297994 dc.contributor.author: Sen rajanikanta dc.date.accessioned: 2015-08-10T12:34:47Z dc.date.available: 2015-...,<p>Book Source: Digital Library of India Item 2015.297994 dc.contributor.author: Sen rajanikanta dc.date.accessioned: 2015-08-10T12:34:47Z dc.date.available: 2015-08-10T12:34:47Z dc.date.digitalpublicationdate: 2012/02/18 dc.date.citation: 1928 dc.identifier.barcode: 99999990330445 dc.identifier.origpath: /data14/upload/0021/275 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/297994 dc.description.scannerno: Sc-2 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 116 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Kolikata Bishwabidyalaya Press dc.source.library: Mbb College Tripura dc.subject.keywords: Agamani dc.subject.keywords: Gourir Agaman Sambad dc.subject.keywords: Nagar Sajja dc.subject.keywords: Umakartik Ranir Pad Barnan dc.subject.keywords: Kartick O Ganesher Adar dc.title: Anandamayee Ed.3rd dc.type: Print - Paper dc.type: Book</p>,https://archive.org/download/in.ernet.dli.2015.297994/2015.297994.Anandamayee-Ed3rd.pdf,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Tomar Pataka,A free public domain Bengali Literature book,Bandhopadhyay Shachindranath,Bengali Literature,free,0,294,Book Source: Digital Library of India Item 2015.298000 dc.contributor.author: Bandhopadhyay Shachindranath dc.date.accessioned: 2015-08-10T12:34:48Z dc.date.ava...,<p>Book Source: Digital Library of India Item 2015.298000 dc.contributor.author: Bandhopadhyay Shachindranath dc.date.accessioned: 2015-08-10T12:34:48Z dc.date.available: 2015-08-10T12:34:48Z dc.date.digitalpublicationdate: 2012/05/22 dc.date.citation: 1965 dc.identifier.barcode: 99999990331762 dc.identifier.origpath: /data14/upload/0022/592 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/298000 dc.description.scannerno: SC-2 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 404 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Nitai Majumdar Kolkatta dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Salil dc.subject.keywords: Nitai dc.subject.keywords: Binodini dc.subject.keywords: Alaka dc.subject.keywords: Rajlakshmi dc.title: Tomar Pataka dc.type: Print - Paper dc.type: Book</p>,https://archive.org/details/in.ernet.dli.2015.298000,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Ucchamadhyamik Aicchik Ganit Vol. 2 Ed. 2nd,A free public domain Bengali Literature book,Gupta Manadacharan,Bengali Literature,free,0,219,Book Source: Digital Library of India Item 2015.298010 dc.contributor.author: Chakraborty Charuchandra dc.contributor.author: Gupta Manadacharan dc.date.accessi...,<p>Book Source: Digital Library of India Item 2015.298010 dc.contributor.author: Chakraborty Charuchandra dc.contributor.author: Gupta Manadacharan dc.date.accessioned: 2015-08-10T12:34:51Z dc.date.available: 2015-08-10T12:34:51Z dc.date.digitalpublicationdate: 2011/05/29 dc.date.citation: 1960 dc.identifier.barcode: 99999990331771 dc.identifier.origpath: /data14/upload/0022/601 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/298010 dc.description.scannerno: SC-01 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 326 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Aadhunike Prokasak Kolkata dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Sampadya dc.subject.keywords: Durattwa dc.subject.keywords: Saral Rekha dc.subject.keywords: Piramid dc.subject.keywords: Shanku dc.title: Ucchamadhyamik Aicchik Ganit Vol. 2 Ed. 2nd dc.type: Print - Paper</p>,https://archive.org/details/in.ernet.dli.2015.298010,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Sakuntala Ed.2nd,A free public domain Bengali Literature book,Tagore Abanindranath,Bengali Literature,free,0,290,Book Source: Digital Library of India Item 2015.298284 dc.contributor.author: Tagore Abanindranath dc.date.accessioned: 2015-08-10T12:35:52Z dc.date.available: ...,<p>Book Source: Digital Library of India Item 2015.298284 dc.contributor.author: Tagore Abanindranath dc.date.accessioned: 2015-08-10T12:35:52Z dc.date.available: 2015-08-10T12:35:52Z dc.date.digitalpublicationdate: 2012/06/21 dc.date.citation: 1953 dc.identifier.barcode: 99999990332292 dc.identifier.origpath: /data14/upload/0023/122 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/298284 dc.description.scannerno: SC-02 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 72 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Signet Press Calcutta dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Madhabilata dc.subject.keywords: Raja Dushmanta dc.subject.keywords: Priyambada dc.subject.keywords: Anusua dc.subject.keywords: Hemkut dc.title: Sakuntala Ed.2nd dc.type: Print - Paper dc.type: Book</p>,https://archive.org/download/in.ernet.dli.2015.298284/2015.298284.Sakuntala-Ed2nd.pdf,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Sindhu Baroya,A free public domain Bengali Literature book,Palit Dibendu,Bengali Literature,free,0,143,Book Source: Digital Library of India Item 2015.298297 dc.contributor.author: Palit Dibendu dc.date.accessioned: 2015-08-10T12:35:55Z dc.date.available: 2015-08...,<p>Book Source: Digital Library of India Item 2015.298297 dc.contributor.author: Palit Dibendu dc.date.accessioned: 2015-08-10T12:35:55Z dc.date.available: 2015-08-10T12:35:55Z dc.date.digitalpublicationdate: 2012/06/23 dc.date.citation: 1959 dc.identifier.barcode: 99999990332304 dc.identifier.origpath: /data14/upload/0023/134 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/298297 dc.description.scannerno: SC-01 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 134 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Aabhenir Calcutta dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Jayanti Sen dc.subject.keywords: Atanu dc.subject.keywords: Malina dc.subject.keywords: Soumya dc.subject.keywords: Priyanath dc.title: Sindhu Baroya dc.type: Print - Paper dc.type: Book</p>,https://archive.org/details/in.ernet.dli.2015.298297,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Subhashchandra Basur Karma O Jiban,A free public domain Bengali Literature book,Toy Hiu,Bengali Literature,free,0,214,Book Source: Digital Library of India Item 2015.298305 dc.contributor.author: Toy Hiu dc.contributor.other: Mukhopadhyay Subhash Tr. dc.date.accessioned: 2015-0...,<p>Book Source: Digital Library of India Item 2015.298305 dc.contributor.author: Toy Hiu dc.contributor.other: Mukhopadhyay Subhash Tr. dc.date.accessioned: 2015-08-10T12:35:57Z dc.date.available: 2015-08-10T12:35:57Z dc.date.digitalpublicationdate: 2012/05/26 dc.date.citation: 1960 dc.identifier.barcode: 99999990330473 dc.identifier.origpath: /data14/upload/0021/303 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/298305 dc.description.scannerno: SC-02 dc.description.scanningcentre: C-DAK Kolkata dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 340 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Elide Publishers Pvt. Ltd. dc.source.library: Mbb College Tripura dc.subject.keywords: Jay Hind dc.subject.keywords: Barmai Parabhab dc.subject.keywords: Bharat Swadhin Habei dc.subject.keywords: Senadhinayak dc.subject.keywords: Bidrahi Sabhapati dc.title: Baghroketan dc.title: Subhashchandra Basur Karma O Jiban dc.type: Print - Paper dc.type: Book</p>,https://archive.org/download/in.ernet.dli.2015.298305/2015.298305.Subhashchandra-Basur.pdf,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Agnijuger Katha Ed.1st,A free public domain Bengali Literature book,Pakrashi Satish,Bengali Literature,free,0,316,Book Source: Digital Library of India Item 2015.298757 dc.contributor.author: Pakrashi Satish dc.date.accessioned: 2015-08-10T12:37:58Z dc.date.available: 2015-...,<p>Book Source: Digital Library of India Item 2015.298757 dc.contributor.author: Pakrashi Satish dc.date.accessioned: 2015-08-10T12:37:58Z dc.date.available: 2015-08-10T12:37:58Z dc.date.digitalpublicationdate: 2012/09/13 dc.date.citation: 1960 dc.identifier.barcode: 99999990334654 dc.identifier.origpath: /data14/upload/0025/484 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/298757 dc.description.scannerno: SC-01 dc.description.scanningcentre: North Eastern States Libraries dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 216 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Nabajatak Prakashan Calcutta dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Swadeshi Andolaner Dine dc.subject.keywords: Gupta Samiti dc.subject.keywords: Biplabi Daler Bistar dc.subject.keywords: Astra Sangraha dc.subject.keywords: Bharate Bidraha dc.title: Agnijuger Katha Ed.1st dc.type: Print - Paper dc.type: Book</p>,https://archive.org/download/in.ernet.dli.2015.298757/2015.298757.Agnijuger-Katha.pdf,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
Agranthita Rokeya,A free public domain Bengali Literature book,Sen Abhijith Ed.,Bengali Literature,free,0,275,Book Source: Digital Library of India Item 2015.298759 dc.contributor.author: Sen Abhijith Ed. dc.date.accessioned: 2015-08-10T12:37:58Z dc.date.available: 2015...,<p>Book Source: Digital Library of India Item 2015.298759 dc.contributor.author: Sen Abhijith Ed. dc.date.accessioned: 2015-08-10T12:37:58Z dc.date.available: 2015-08-10T12:37:58Z dc.date.digitalpublicationdate: 2012/09/19 dc.date.citation: 1960 dc.identifier.barcode: 99999990334656 dc.identifier.origpath: /data14/upload/0025/486 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/298759 dc.description.scannerno: SC-01 dc.description.scanningcentre: North Eastern States Libraries dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 86 dc.format.mimetype: application/pdf dc.language.iso: Bengali dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Biswas Pablishing House Calcutta dc.source.library: Birchandra State Central Library Tripura dc.subject.keywords: Asha Jyoti dc.subject.keywords: Gulista dc.subject.keywords: Koutuk Kana dc.subject.keywords: Naripuja dc.subject.keywords: Premrahasya dc.title: Agranthita Rokeya dc.type: Print - Paper dc.type: Book</p>,https://archive.org/download/in.ernet.dli.2015.298759/2015.298759.Agranthita-Rokeya.pdf,,Free,#1e3a5f,#f5f1e8,#f59e0b,p-waves
