title,sub,author,author_bio,cat,type,price,pages,blurb,desc,drive_url,cover_image,badge,bg,fg,ac,pat,lang
Pride and Prejudice,A free public domain fiction book,Jane Austen,"Jane Austen was an English writer known primarily for her six novels, which implicitly interpret, critique, and comment on the English landed gentry at the end of the 18th century.",Fiction,free,0,147,"A classic fiction work by Jane Austen. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Pride and Prejudice by Jane Austen is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Jane Austen was an English writer known primarily for her six novels, which implicitly interpret, critique, and comment on the English landed gentry at the end of the 18th century.</p></div>",https://www.gutenberg.org/ebooks/1342.epub3.images,https://www.gutenberg.org/cache/epub/1342/pg1342.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
"Moby Dick; Or, The Whale",A free public domain adventure book,Herman Melville,"Herman Melville was an American writer of the American Renaissance period. Among his best-known works are Moby-Dick (1851), Typee (1846), a romanticized account of his experiences in Polynesia, and Billy Budd, Sailor, a posthumously published novella. At the time of his death, Melville was not well known to the public, but 1919, the centennial of his birth, was the starting point of a Melville revival. Moby-Dick would eventually be considered one of the Great American Novels.",Adventure,free,0,152,"A classic adventure work by Herman Melville. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Moby Dick; Or, The Whale by Herman Melville is a foundational adventure work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Herman Melville was an American writer of the American Renaissance period. Among his best-known works are Moby-Dick (1851), Typee (1846), a romanticized account of his experiences in Polynesia, and Billy Budd, Sailor, a posthumously published novella. At the time of his death, Melville was not well known to the public, but 1919, the centennial of his birth, was the starting point of a Melville revival. Moby-Dick would eventually be considered one of the Great American Novels.</p></div>",https://www.gutenberg.org/ebooks/2701.epub3.images,https://www.gutenberg.org/cache/epub/2701/pg2701.cover.medium.jpg,Free,#1c1917,#ffffff,#fb923c,p-rings,en
Crime and Punishment,A free public domain mystery book,Fyodor Dostoyevsky,"Fyodor Mikhailovich Dostoevsky was a Russian philosopher, novelist, short-story writer, essayist and journalist. He is regarded as one of the greatest novelists in both Russian and world literature, and many of his works are considered highly influential masterpieces. Dostoevsky's literary works explore the human condition in the troubled political, social and spiritual atmospheres of 19th-century Russia, and engage with a variety of philosophical and religious themes. His most acclaimed novels include Crime and Punishment (1866), The Idiot (1869), Demons (1872), The Adolescent (1875) and The Brothers Karamazov (1880). His Notes from Underground, a novella published in 1864, is considered one of the first works of existentialist literature.",Mystery,free,0,217,"A classic mystery work by Fyodor Dostoyevsky. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Crime and Punishment by Fyodor Dostoyevsky is a foundational mystery work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Fyodor Mikhailovich Dostoevsky was a Russian philosopher, novelist, short-story writer, essayist and journalist. He is regarded as one of the greatest novelists in both Russian and world literature, and many of his works are considered highly influential masterpieces. Dostoevsky's literary works explore the human condition in the troubled political, social and spiritual atmospheres of 19th-century Russia, and engage with a variety of philosophical and religious themes. His most acclaimed novels include Crime and Punishment (1866), The Idiot (1869), Demons (1872), The Adolescent (1875) and The Brothers Karamazov (1880). His Notes from Underground, a novella published in 1864, is considered one of the first works of existentialist literature.</p></div>",https://www.gutenberg.org/ebooks/2554.epub3.images,https://www.gutenberg.org/cache/epub/2554/pg2554.cover.medium.jpg,Free,#2c2c54,#ffffff,#f59e0b,p-rings,en
The Secret of Chimneys,A free public domain mystery book,Agatha Christie,"Dame Agatha Mary Clarissa Mallowan, Lady Mallowan, usually known by her first married name, Agatha Christie, was an English author known for her 66 detective novels and 14 short-story collections, particularly those revolving around fictional detectives Hercule Poirot, Tommy and Tuppence, and Miss Marple. She is widely regarded as one of the greatest writers, particularly in the mystery genre.",Mystery,free,0,257,"A classic mystery work by Agatha Christie. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Secret of Chimneys by Agatha Christie is a foundational mystery work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Dame Agatha Mary Clarissa Mallowan, Lady Mallowan, usually known by her first married name, Agatha Christie, was an English author known for her 66 detective novels and 14 short-story collections, particularly those revolving around fictional detectives Hercule Poirot, Tommy and Tuppence, and Miss Marple. She is widely regarded as one of the greatest writers, particularly in the mystery genre.</p></div>",https://www.gutenberg.org/ebooks/65238.epub3.images,https://www.gutenberg.org/cache/epub/65238/pg65238.cover.medium.jpg,Free,#2c2c54,#ffffff,#f59e0b,p-rings,en
The Love Letters of Mary Wollstonecraft to Gilbert Imlay,"A free public domain authors, english book",Mary Wollstonecraft,"Mary Wollstonecraft was an English writer and philosopher best known for her advocacy of women's rights. Until the late twentieth century, Wollstonecraft's life, which encompassed several unconventional personal relationships, received more attention than her writing. Wollstonecraft is regarded as one of the founding feminist philosophers, and feminists often cite both her life and her works as important influences.","Authors, english",free,0,220,"A classic authors, english work by Mary Wollstonecraft. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Love Letters of Mary Wollstonecraft to Gilbert Imlay by Mary Wollstonecraft is a foundational authors, english work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Mary Wollstonecraft was an English writer and philosopher best known for her advocacy of women's rights. Until the late twentieth century, Wollstonecraft's life, which encompassed several unconventional personal relationships, received more attention than her writing. Wollstonecraft is regarded as one of the founding feminist philosophers, and feminists often cite both her life and her works as important influences.</p></div>",https://www.gutenberg.org/ebooks/34413.epub3.images,https://www.gutenberg.org/cache/epub/34413/pg34413.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
The Odyssey: Rendered into English prose for the use of those who cannot read the original,A free public domain poetry book,Homer,"Homer was an ancient Greek poet who is traditionally credited as the author of the Iliad and the Odyssey, two epic poems that are foundational works of ancient Greek literature. Homer was highly revered in ancient Greek society and is considered one of the most influential authors in history. Today, the question of Homer's identity and existence—dubbed the Homeric Question —continues to be debated, and scholars generally regard the two poems as the works of separate authors.",Poetry,free,0,99,"A classic poetry work by Homer. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Odyssey: Rendered into English prose for the use of those who cannot read the original by Homer is a foundational poetry work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Homer was an ancient Greek poet who is traditionally credited as the author of the Iliad and the Odyssey, two epic poems that are foundational works of ancient Greek literature. Homer was highly revered in ancient Greek society and is considered one of the most influential authors in history. Today, the question of Homer's identity and existence—dubbed the Homeric Question —continues to be debated, and scholars generally regard the two poems as the works of separate authors.</p></div>",https://www.gutenberg.org/ebooks/1727.epub3.images,https://www.gutenberg.org/cache/epub/1727/pg1727.cover.medium.jpg,Free,#4a2b3d,#ffffff,#fb7185,p-rings,en
The Adventures of Sherlock Holmes,A free public domain mystery book,Arthur Conan Doyle,"Sir Arthur Ignatius Conan Doyle was a British writer and physician. He is best known for his four novels and fifty-six short stories about the fictional consulting detective Sherlock Holmes and his assistant Dr. Watson, which are milestones in crime fiction, and for his first work featuring Professor Challenger, The Lost World (1912), which gave its name to a subgenre of speculative fiction. He was a prolific writer who produced over 200 stories and articles, four volumes of poetry, and a number of works for the stage. He was knighted by King Edward VII in the 1902 Coronation Honours.",Mystery,free,0,259,"A classic mystery work by Arthur Conan Doyle. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Adventures of Sherlock Holmes by Arthur Conan Doyle is a foundational mystery work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Sir Arthur Ignatius Conan Doyle was a British writer and physician. He is best known for his four novels and fifty-six short stories about the fictional consulting detective Sherlock Holmes and his assistant Dr. Watson, which are milestones in crime fiction, and for his first work featuring Professor Challenger, The Lost World (1912), which gave its name to a subgenre of speculative fiction. He was a prolific writer who produced over 200 stories and articles, four volumes of poetry, and a number of works for the stage. He was knighted by King Edward VII in the 1902 Coronation Honours.</p></div>",https://www.gutenberg.org/ebooks/1661.epub3.images,https://www.gutenberg.org/cache/epub/1661/pg1661.cover.medium.jpg,Free,#2c2c54,#ffffff,#f59e0b,p-rings,en
The Mysteries of Udolpho,A free public domain fiction book,Ann Ward Radcliffe,"Ann Radcliffe was an English novelist and poet who pioneered the Gothic novel. Her fourth and most popular novel, The Mysteries of Udolpho, was published in 1794. She is also remembered for her third novel, The Romance of the Forest (1791) and her fifth novel, The Italian (1797). Her novels combine suspenseful narratives, exotic historical settings, and apparently-supernatural events.",Fiction,free,0,121,"A classic fiction work by Ann Ward Radcliffe. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Mysteries of Udolpho by Ann Ward Radcliffe is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Ann Radcliffe was an English novelist and poet who pioneered the Gothic novel. Her fourth and most popular novel, The Mysteries of Udolpho, was published in 1794. She is also remembered for her third novel, The Romance of the Forest (1791) and her fifth novel, The Italian (1797). Her novels combine suspenseful narratives, exotic historical settings, and apparently-supernatural events.</p></div>",https://www.gutenberg.org/ebooks/3268.epub3.images,https://www.gutenberg.org/cache/epub/3268/pg3268.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
Romeo and Juliet,A free public domain drama book,William Shakespeare,"William Shakespeare was an English playwright, poet and actor. He is widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the Bard of Avon or simply the Bard . His extant works, including collaborations, consist of some 39 plays, 154 sonnets, 3 long narrative poems and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. Shakespeare remains arguably the most influential writer in the English language, and his works continue to be studied and reinterpreted.",Drama,free,0,158,"A classic drama work by William Shakespeare. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Romeo and Juliet by William Shakespeare is a foundational drama work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>William Shakespeare was an English playwright, poet and actor. He is widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the Bard of Avon or simply the Bard . His extant works, including collaborations, consist of some 39 plays, 154 sonnets, 3 long narrative poems and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. Shakespeare remains arguably the most influential writer in the English language, and his works continue to be studied and reinterpreted.</p></div>",https://www.gutenberg.org/ebooks/1513.epub3.images,https://www.gutenberg.org/cache/epub/1513/pg1513.cover.medium.jpg,Free,#312e81,#ffffff,#fcd34d,p-rings,en
A Room with a View,A free public domain fiction book,E. M. Forster,"Edward Morgan Forster was an English author. He is best known for his novels, particularly A Room with a View (1908), Howards End (1910) and A Passage to India (1924). He also wrote numerous short stories, essays, speeches and broadcasts, as well as biographies and pageant plays. His short story The Machine Stops (1909) is often viewed as the beginning of technological dystopian fiction. He also co-authored the libretto to Benjamin Britten's opera Billy Budd (1951). Many of his novels examine class differences and hypocrisy. His views as a humanist are at the heart of his work.",Fiction,free,0,170,"A classic fiction work by E. M. Forster. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>A Room with a View by E. M. Forster is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Edward Morgan Forster was an English author. He is best known for his novels, particularly A Room with a View (1908), Howards End (1910) and A Passage to India (1924). He also wrote numerous short stories, essays, speeches and broadcasts, as well as biographies and pageant plays. His short story The Machine Stops (1909) is often viewed as the beginning of technological dystopian fiction. He also co-authored the libretto to Benjamin Britten's opera Billy Budd (1951). Many of his novels examine class differences and hypocrisy. His views as a humanist are at the heart of his work.</p></div>",https://www.gutenberg.org/ebooks/2641.epub3.images,https://www.gutenberg.org/cache/epub/2641/pg2641.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
