title,sub,author,author_bio,cat,type,price,pages,blurb,desc,drive_url,cover_image,badge,bg,fg,ac,pat,lang
Tales from Dickens,"A free public domain dickens, charles, 1812-1870 book",Charles Dickens,"Charles John Huffam Dickens was an English writer and journalist. He created some of literature's best-known fictional characters, and is regarded by many as the greatest novelist of the Victorian era. His works enjoyed unprecedented popularity during his lifetime and, by the 20th century, critics and scholars had recognised him as a literary genius. His novels and short stories are widely read today.","Dickens, charles, 1812-1870",free,0,242,"A classic dickens, charles, 1812-1870 work by Charles Dickens. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Tales from Dickens by Charles Dickens is a foundational dickens, charles, 1812-1870 work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Charles John Huffam Dickens was an English writer and journalist. He created some of literature's best-known fictional characters, and is regarded by many as the greatest novelist of the Victorian era. His works enjoyed unprecedented popularity during his lifetime and, by the 20th century, critics and scholars had recognised him as a literary genius. His novels and short stories are widely read today.</p></div>",https://www.gutenberg.org/ebooks/30127.epub3.images,https://www.gutenberg.org/cache/epub/30127/pg30127.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
Russian Fairy Tales from the Skazki of Polevoi,A free public domain fairy tales book,P. Polevoi,"P. Polevoi is an author and scholar in the field of Fairy tales, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Fairy tales,free,0,249,"A classic fairy tales work by P. Polevoi. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Russian Fairy Tales from the Skazki of Polevoi by P. Polevoi is a foundational fairy tales work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>P. Polevoi is an author and scholar in the field of Fairy tales, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/34705.epub3.images,https://www.gutenberg.org/cache/epub/34705/pg34705.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
The Magic of Oz,A free public domain fiction book,L. Frank Baum,"Lyman Frank Baum was an American author best known for his children's fantasy books, particularly The Wonderful Wizard of Oz, part of a series. In addition to the 14 Oz books, Baum penned 41 other novels, 83 short stories, over 200 poems, and at least 42 scripts. He made numerous attempts to bring his works to the stage and screen; the 1939 adaptation of the first Oz book became a landmark of 20th-century cinema.",Fiction,free,0,128,"A classic fiction work by L. Frank Baum. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The Magic of Oz by L. Frank Baum is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Lyman Frank Baum was an American author best known for his children's fantasy books, particularly The Wonderful Wizard of Oz, part of a series. In addition to the 14 Oz books, Baum penned 41 other novels, 83 short stories, over 200 poems, and at least 42 scripts. He made numerous attempts to bring his works to the stage and screen; the 1939 adaptation of the first Oz book became a landmark of 20th-century cinema.</p></div>",https://www.gutenberg.org/ebooks/50194.epub3.images,https://www.gutenberg.org/cache/epub/50194/pg50194.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
平妖傳,A free public domain fiction book,Guanzhong Luo,"Guanzhong Luo is an author and scholar in the field of Fiction, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Fiction,free,0,228,"A classic fiction work by Guanzhong Luo. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>平妖傳 by Guanzhong Luo is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Guanzhong Luo is an author and scholar in the field of Fiction, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/57227.epub3.images,https://www.gutenberg.org/cache/epub/57227/pg57227.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
"The New England Magazine Volume 1, No. 3, March, 1886: Bay State Monthly Volume 4, No. 3, March, 1886",A free public domain new england book,Various,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,New england,free,0,138,"A classic new england work by Various. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>The New England Magazine Volume 1, No. 3, March, 1886: Bay State Monthly Volume 4, No. 3, March, 1886 by Various is a foundational new england work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/22783.epub3.images,https://www.gutenberg.org/cache/epub/22783/pg22783.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
Hans Andersen's Fairy Tales. First Series,"A free public domain children's stories, danish book",H. C. Andersen,"Hans Christian Andersen was a Danish writer. A prolific writer of plays, travelogues, novels, and poems, he is also best remembered for his literary fairy tales.","Children's stories, danish",free,0,143,"A classic children's stories, danish work by H. C. Andersen. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Hans Andersen's Fairy Tales. First Series by H. C. Andersen is a foundational children's stories, danish work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Hans Christian Andersen was a Danish writer. A prolific writer of plays, travelogues, novels, and poems, he is also best remembered for his literary fairy tales.</p></div>",https://www.gutenberg.org/ebooks/32571.epub3.images,https://www.gutenberg.org/cache/epub/32571/pg32571.cover.medium.jpg,Best Seller,#0f2a43,#ffffff,#f59e0b,p-rings,en
"A Middle English Vocabulary, Designed for use with Sisam's Fourteenth Century Verse & Prose",A free public domain english language book,J. R. R. Tolkien,"J. R. R. Tolkien is an author and scholar in the field of English language, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",English language,free,0,233,"A classic english language work by J. R. R. Tolkien. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>A Middle English Vocabulary, Designed for use with Sisam's Fourteenth Century Verse & Prose by J. R. R. Tolkien is a foundational english language work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>J. R. R. Tolkien is an author and scholar in the field of English language, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/43737.epub3.images,https://www.gutenberg.org/cache/epub/43737/pg43737.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
Modern Magic: A Practical Treatise on the Art of Conjuring,A free public domain magic tricks book,Professor Hoffmann,"Professor Hoffmann is an author and scholar in the field of Magic tricks, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Magic tricks,free,0,239,"A classic magic tricks work by Professor Hoffmann. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Modern Magic: A Practical Treatise on the Art of Conjuring by Professor Hoffmann is a foundational magic tricks work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>Professor Hoffmann is an author and scholar in the field of Magic tricks, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/58057.epub3.images,https://www.gutenberg.org/cache/epub/58057/pg58057.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
兒女英雄傳,A free public domain fiction book,active 1842-1851 Wenkang,"active 1842-1851 Wenkang is an author and scholar in the field of Fiction, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.",Fiction,free,0,198,"A classic fiction work by active 1842-1851 Wenkang. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>兒女英雄傳 by active 1842-1851 Wenkang is a foundational fiction work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>active 1842-1851 Wenkang is an author and scholar in the field of Fiction, whose historical treatises, literature, and educational publications are preserved for digital research and universal access.</p></div>",https://www.gutenberg.org/ebooks/25327.epub3.images,https://www.gutenberg.org/cache/epub/25327/pg25327.cover.medium.jpg,Free,#1a1a2e,#ffffff,#f59e0b,p-rings,en
"Blackwood's Edinburgh Magazine, Volume 54, No. 334, August 1843",A free public domain england book,Various,An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.,England,free,0,306,"A classic england work by Various. This verified digital edition features clean typography, DRM-free reading, and instant download access.","<p>Blackwood's Edinburgh Magazine, Volume 54, No. 334, August 1843 by Various is a foundational england work preserved in the open digital library. Download your complete edition for study, reference, and personal reading.</p><div class=""author-bio"" style=""margin-top:20px;padding-top:16px;border-top:1px solid #e2e8f0;""><h3>About the Author</h3><p>An established literary and educational author whose cataloged works are preserved in public domain and digital study archives.</p></div>",https://www.gutenberg.org/ebooks/25065.epub3.images,https://www.gutenberg.org/cache/epub/25065/pg25065.cover.medium.jpg,Free,#0f2a43,#ffffff,#f59e0b,p-rings,en
